chapter,paragraph,text,class,class_name
51,6,"Let us climb now to our lookout point on the German Club building, to look over the territory lying between the two red lines having the number 52 at their ends.
",13,Military and Naval Defenses
52,2,"Just a moment now to get our bearings.
The buildings near us belong to the British Concession.
Farther away is the territory covered by the French and Japanese Concessions.
That group of buildings with several smokestacks in the distance to the left belong to the West Arsenal (see map).
In the distance, far to the right, we hardly catch a glimpse of the southwestern corner of the walled city.
",11,Geography and Topography
52,3,"Perhaps we may at first see nothing extraordinary in this scene, and still, probably not in the history of the world has a landscape been photographed in which, at the time the view was made, events so momentous were being enacted;
besides, beyond doubt no other view was taken showing a similar panorama during the action of the Allies before Tien-tsin on that historic day.
I was, so far as I can learn, the only photographer on the ground to do work of this kind.
Correspondents from all parts. of the world tried to secure these views and offered to pay me any sum I would mention for them;
but, of course, they were not mine to sell-they were the property of the publishers by whom I was employed.
Even maps of the field were not in existence.
These things I mention that we may appreciate the privilege we now have of looking upon the field of battle itself, and that, too, at the time when the battle waged in all its fury, when these very buildings on which we stand were vibrating with the deafening roar of more than a hundred cannon, when the thinned numbers of civilians left in the desolate settlement, were waiting in the utmost anxiety to know how the tide of battle would turn, whether in victory or defeat, which meant safety or massacre.
The cruel enemy was infinitely superior in numbers, and, if their valor should prove even half equal to their numbers, relentless slaughter awaited all of us.
A number of us stood where we now stand.
You see the horizon yonder, hazy with the smoke of rifle fire and bursting shell.
It was a thrilling and anxious day for us;
it was a historic day for the world, and it is for these reasons that I ask you to note with more than usual care my explanation of what is before us here and of what we shall see from our next view-points.
",24,War and Conflict
52,4,"First, then, let me locate our position with reference to our last standpoint.
You see those trees in an open square; the street in which we stood when looking at the public water hydrant, runs along the left side of the square between those trees and the small, low building, the gable end of which we see over this lattice-covered court near us.
The small building is the one through which a shell passed into the rooms I occupied.
I mentioned also a shell which entered the barracks of the English Marines, killing one and wounding two.
I want you to see the hole in the tile roof made by that fatal shell; you may see it to the extreme right, at the edge of the roof of that second building, the one with three small, square towers.
",24,War and Conflict
52,5,"The building nearest us was formerly the English Club Rooms, now used as a hospital and already containing wounded men.
Notice the rent made by a shell in the roof.
To-morrow, when the wounded are brought in from the bloody battle now in progress, this and many other extemporized hospitals will be more than full.
",24,War and Conflict
52,6,"Yesterday the cannonading was heavy, especially on account of several lyddite twelve-pound naval guns brought from British ships-indeed, they had been brought direct from Ladysmith, in the Transvaal, and bore each a tablet with the significant device, ""From Ladysmith to Tien-tsin.""
During the past night the measured tread of soldiers never ceased.
We suspected some unusual movement was on foot; but in time of war civilians and common soldiers never know the import of military movements.
At two o'clock in the morning the far-fetched twelve-pounders from the antipodes 2 II were in action.
The night movement of troops was the gathering of the Allies for a general attack on the Native City of Tien-tsin.
Americans, English, Japanese, Welsh, French and a few Austrians, numbering in all, over eight thousand, had moved out, under cover of darkness, to gain an advantageous position for an early general attack.
That West Arsenal, the cluster of buildings and tall chimneys in the distance to the left, has, up to a few days ago, been in active operation, turning out all sorts of modern munitions of war.
Soon after the investment of the European settlement, this arsenal was bombarded and the Chinese driven out; shortly they reoccupied it, and only a few days before the battle now in progress it was shelled again and burned.
It is in the center of the line of advance of the Allies.
It is called the West Arsenal in contradistinction to the East Arsenal, lying at an equal distance on the opposite side of the Pei-ho, or directly behind us, as we stand here.
The East Arsenal, which we shall see later, was captured and burned by the first relief force to Tien-tsin.
Both these arsenals contained all the latest modern facilities for the manufacture of war material.
The distance from where we stand to the West Arsenal is about two miles; from the arsenal to the Native City it is a little more than half that distance.
As we have said, the objective point of the Allies is the South Gate of the Native City, which lies directly north of the arsenal and in line with it.
A poor road extends from the arsenal across a muddy and grassy plain to the South Gate, sometimes called the Taku Gate.
The brick wall surrounding the river city is twenty-five feet high and from ten to fifteen feet thick, with four principal gates.
A mile or over from this wall is the circumvallation of clay, the earth or ""mud-wall,"" some fifteen feet high, which serves as a first line of defense.
At the left of the arsenal you can see a dark line extending toward our left; that is the famous ""mudwall"" mentioned so frequently in connection with the exigencies of the Boxer war.
The center of our present field of vision is the center of the advance of the Allies in the forenoon; later in the day the lines advanced slowly and with great difficulty toward the city.
You can scarcely see a dark line extending from the arsenal toward the right, marking the line of the road to the city.
But to the left and to the right of that road, we remember the Allied forces deployed in the following order from left to right: American Marines, Welsh Fusiliers, Japanese, British Marines, Eighth United States Infantry.
At this distance of two miles the field of battle seems small, but remember that it embraces five or six square miles before us in this direction, and, when we turn in an opposite direction and look across the Pei-ho, we will see another field of an equal area covered by the Russian wing of the Allies.
It is uncertain whether we can now distinguish troops or not; but at times during the battle we could distinguish the different soldiers without our field-glasses, and with them, very distinctly.
You can dimly see off to the right the line of the city wall vanishing in the distant horizon; and the exact position of the American Ninth Infantry is indicated by those black objects, far to the right, in the hazy distance.
Indeed, I have scarcely been able to convince myself that those dark objects are not the blue shirts of the brave boys of the Ninth; that is the exact position they occupied at midday, when they found shelter for a time behind some mud-houses.
It was there they encountered a deadly flank fire from a range of loop-holed walls not two hundred yards distant.
It was near that point, also, that Colonel Liscom fell.
I must remind you that native villages surround the city, outside the walls, and that these places were filled with Boxers well protected and firing from loop-holes.
",24,War and Conflict
52,7,"If we turn more to the left we shall obtain a better view of the mud-wall and the course of the night march of the Allies.
On the map, the lowest of the six red lines which branch out from our standpoint near the river in the English Concession and the third line from the bottom, each with the number 53 at its end, mark the limits of our next field of vision.
",24,War and Conflict
53,2,"Although we are on the same roof as before, we have so changed our position as to be able to see a number of citizens and one or two missionaries with their fieldglasses watching the progress of the battle.
Notice how some look in one direction and some in another; some are watching the bursting of the lyddite shells at the South Gate, which we hope to enter to-morrow morning if the Allies are successful; some are looking at the burning city, toward which we shall look soon; others are watching the shells from the Chinese guns on the wall of the city, which are exploding over the Allies.
You can see where one shell has just exploded to the right of the arsenal.
Now we can follow the course of the mud-wall as it runs from the West Arsenal toward the settlement on our left.
A little farther to our left than we can now see five or six guns from H. M. S. "" Terrible"" are mounted along this wall; these we shall also see to-morrow, if all goes well, when we move in that direction to enter the city.
Also, beyond our vision limit to the left, near the same wall, two twelve-pound lyddite guns are placed; just across the street, not fifty yards. away, is the City Hall, on the tower of which is the signal corps with a telephone communication with these guns, and we can hear the orders given to the gunners.
Seemingly half-way between us and the West Arsenal you see a cluster of buildings sheltered by walls; near that place the Japanese have a field battery; and farther to the right the Sikhs have another.
As we stand here all of these guns and many others are belching lurid flames, while the earth seems to tremble with their unceasing roar.
The Grand Canal, coming from the southward, reaches the mud-wall off to the left of the arsenal; a small canal extends from the Grand Canal to the Pei-ho, running close behind the mud-wall.
Many of the troops now engaged passed out during the night behind that wall; others passed over those low, grassy plains to the left until on a line with the arsenal, taking shelter behind the wall till the order was given for a general advance.
The night movement was intended to conceal the intended attack; but spies had apprised the enemy and they were well prepared.
",24,War and Conflict
53,3,"Only one person in this group of spectators seems to be watching the Russian attack toward the east and northeast.
The person in dark clothes near us, with his field-glass at his eyes, is looking toward the center of the Russian wing across the Pei-ho.
",24,War and Conflict
53,4,"For a few minutes we shall leave our position here and take another on the tower of the Taku Lighter Company's building, from which we shall look across the Pei-ho to the East Arsenal.
On the map our new field of vision is given by the red lines connected with the number 54, which branch from the west bank of the river to the right-hand map margin.
",13,Military and Naval Defenses
54,2,"Now, we are facing due east.
The narrow, muddy Pei-ho lies below us.
We see something of the scattered villages across the river, where Boxers found defenses from which they fired upon the settlement before the arrival of the relief forces.
We are here at the extreme southern end of the English Settlement and the native houses across the river are few, but to our left, up the river, they extend from the river-front well back into the plain.
At present they are everywhere in ruins; fire has obliterated every trace of a habitable home; but even after fire had done its work the enemy found secure points for ""sniping"" from among the ruins.
The tower on which we stand has been penetrated by several shells fired from two forts a mile farther up the river.
In this direction we again see the mud-wall, marking a distance of nearly two miles from the Native City.
Two more of the destructive lyddite guns were placed by the wall off to our left.
Other batteries of artillery had been planted on the wall in attempting to silence the two forts farther up the river, which had been a constant menace to the settlement.
Eastward, two miles from us, we see the East Arsenal, which was captured and burned by the relief expedition in June.
This East Arsenal was the initial point of the Russians, as the West Arsenal was of the other Allies.
Russian cavalry, infantry and artillery spread out and advanced over that plain toward the East Gate of the Native City and the forts on the river.
The ground, as you see, is perfectly level; there is no cover for advancing troops, and the Russians have not yet learned the art of taking shelter by prostrating themselves on the ground; they were raked by rifle fire from the villages and by shell from the forts on the river.
From dawn through the long, hot day, the Russian troops advanced slowly but tenaciously, against overwhelming odds; by nightfall they had captured the forts which had wrought so much destruction and caused so much anxiety; but they had not entered the Native City.
",24,War and Conflict
54,3,"We will return to our former lookout on the roof of the German Club Building to witness the battle now going on.
From a slightly different position, we will look toward the Native City.
",24,War and Conflict
54,4,"Turn again on the map to the six lines which branch from one point near the river in the British Concession.
Notice the uppermost line and the second one from it, each with the number 55 at its end on the map margin.
As we are now to look over the territory between these two lines it is evident we shall be looking over the Native City.
",2,British Colonialism
55,2,"We can distinguish faintly the outline of the city wall, especially the towers, which at intervals rise quite above the level of the wall.
It is evident that the shells of the Allies are taking effect; we can see smoke in two quarters.
",24,War and Conflict
55,3,"The fire to the right is in the interior of the city; that to the left is at the South Gate, the objective point of attack by the Allies on the west side of the river.
Every gate has a massive superstructure of wood; that of the South Gate is burning fiercely; with our field-glasses we can see the red tongues of flame licking the sky.
All the batteries There the Allies have been directing their fire upon it. must enter, if at all.
The bravest men cannot scale a twenty-five-foot wall; they must enter at the gate.
We can hear the order given.
There is an occasional lull to allow the overheated guns to cool; then the quick muzzle flashes begin again, followed by the deafening roar and earthquake shocks.
This has continued since dawn; there has been no lull in the steady roll of rifle fire; the fitful popping of the automatic guns sometimes joins in the hellish chorus.
In such a long continued storm of deadly missiles of destruction one wonders if one soul can be left alive.
It is now the hottest hour of the day and the hottest hour of the battle.
The sky is cloudless; the sun is merciless; the thermometers register nearly a hundred in the shade; and there, before us over that torrid plain, are scattered eight thousand men, under a scorching sun, without shelter of any kind save the shelter they find in prostrating themselves in filthy pools and quagmires, and yet enduring throughout this long, hot day the well-directed and well-protected fire of some fifty thousand Boxers and Imperial troops.
The territory to our extreme left here was to our extreme right before (Stereograph No. 52).
The English and the Ninth U. S. Infantry are fighting near each other to the right of the South Gate.
The plucky little Japanese are beyond; they are easily distinguished in white uniform.
Some one in our eager group of spectators calls out: ""See the Japs advance on the double-quick!""
All glasses are up to see the bold little heroes rush forward for a hundred yards under a withering fire and then drop out of sight in the long grass and mud; next some one directs attention to a charge of Russian cavalry on the plain across the river-a long advancing cloud of dust which meant that the cavalry was within it.
We turn again toward the west and see riderless horses galloping back to the arsenal; many of the Allies are now lost to sight among the outlying houses in the villages near the wall, and in the long reeds which cover the ground in places.
Night is coming on, and the ponderous gates are still closed and intact, being within a square court and not exposed to shells.
The Allies are within two hundred yards of the city walls, but not even the lyddite shells have breached the walls or gates.
To charge these walls would mean destruction and slaughter; to retreat meant the same.
It is defeat, but only those at the front know it; worse still, it is defeat without possibility of retreat.
Surrender means indiscriminate slaughter with such an enemy.
Night is coming on and darkness will enable the Allies to withdraw; and what a welcome night it is to those weary men who have borne the brunt of battle and the broiling sun from early morn till darkness-no food, no water, no shelter, and every hour of the long day under a raking fire.
We on the roof wonder how men can live under such a fire; we talk of the dead and wounded now scattered over those fields where they will remain for the night, sweltering in bloody garments, on beds of mire.
Darkness is to be the salvation of the Allies, for they retired under cover of night to the mudwall, where mud-stained and blood-stained, weary and hungry, they caught snatches of sleep on their arms.
",24,War and Conflict
55,4,"It was learned during the night that the Chinese were as much disheartened as the Allies and anticipating, naturally, a renewal of assault in the morning, with reenforcements, commenced to retreat.
The Allies decided upon a vigorous and concerted attack in the morning, which was made and led by the intrepid Japanese.
An unexpectedly feeble defense was met, many of the enemy having probably withdrawn during the night.
The South Gate was breached by the Japanese.
Two unsuccessful attempts were made to blow down the ponderous gates with dynamite, but each time the fuse failed to ignite.
It was a crucial moment, when a minute lost might be the sacrifice of a hundred lives.
In an army of heroes there is no scarcity of martyrs.
A Japanese soldier rushed forward, with torch in hand, ignited the explosive and was himself blown to atoms; but the great gate was blown down.
Led by these soldiers, the whole force streamed through, and the great horde of Boxers and Imperial soldiers were making an ignominious exit from all parts of the city.
When early morning brought the welcome tidings that the Allies were entering the Native City, we all felt that the midnight of apprehension was past; that our long-beleaguered conditions were at an end; that the last shell had shrieked over the settlement.
",24,War and Conflict
55,5,"Now let us hasten to the South Gate to witness ""after the battle"" scenes.
We will go by the mud-wall and the West Arsenal, stopping a few times on the way.
We halt first to examine a pair of naval guns, already mentioned as having been brought from H. M. S. ""Terrible,"" and to look again toward the burning city.
On the lower portion of the map find the number 56 in red by the earth-wall along the British Concession, and the two red lines which branch toward the northwest.
",24,War and Conflict
56,2,"These hot, smoking guns are not the first of the afterthe-battle scenes; before reaching this point we have passed lines of wounded men, borne on stretchers; just behind us, in a canal in line with the wall on which we stand, are flat-boats filled with wounded Japanese.
These boats are pushed slowly along with poles, and the spectacle they present is pitiful in the extreme; the bottoms of the boats are crowded with wounded men, some sitting, some lying, all in the hot sun; they are just brought from the muddy field where they have lain and moaned away a dreary night.
The silence is funereal; they are not dead men; they are the wounded, many of them mortally; yet no word is spoken, even by the men poling the boats slowly along.
The litter-bearers are as silent as pall-bearers; the tender consideration for the suffering wounded is as solemn as the reverence for the dead.
Remembering the dreadful all-day battle, one can scarcely resist an impulse to lift one's hat when passing the familiar uniform of our own boys, spattered with mud and blood-stained beyond recognition, with a crumpled hat sheltering a pallid face from the fierce sun.
It is better that I cannot show you all the scenes of war.
",24,War and Conflict
56,3,"Now let us examine these instruments of destruction that have added red pigment to the war-picture behind those distant city walls.
The gunners have retired to a slight shelter in the wall near where we stand; they are smeared with smoke and dust; they have slept by these guns.
Yesterday, from daylight till darkness, these two grim machines were hot with unremittent firing.
Now, the enemy's guns are silent, and these two, with many others, look restfully and victoriously toward the destruction they have wrought.
We see the smoke still rising from the South Gate directly before us and, to the right, from the burning city; columns of smoke have been thus rising from different parts of the city for several days; a great part of the city is laid waste, as we shall see when we enter it at that South Gate a little later.
We are nearly a mile from our former lookout on the roof and not yet in line with the ground over which the Allies advanced.
We are looking northwest toward the south wall of the city, and here we get an idea of the pools of water which had to be crossed, though on the line of the advance there are no sheltering banks or ditches, nor buildings like those we see before us.
",24,War and Conflict
56,4,"But we cannot linger here; we must hurry along the top of the wall to a point opposite the West Arsenal, in the rear of this mud-wall, where the exhausted and temporarily repulsed Allies lay on their arms during the past night.
Many wounded have been brought to that place.
Many dead also.
",24,War and Conflict
57,2,"But we will not turn to see a row of two hundred dead lying a little behind where we are standing; we will only glance at a scene among the wounded and hurry on to the burning city.
You here obtain a near view of the mudwall so often mentioned.
And nearest to us you see a fatally-wounded Japanese soldier and the tender-hearted American boy bestowing the only blessing in his powersome water to allay the feverish thirst of his mortal agony.
The American soldiers have a kindly feeling toward the Japanese.
The average American admires pluck; the little Japanese is an ideal embodiment of suaviter in modo, fortiter in re; our boys recognize this and make pets of the manly little fellows.
I have frequently seen an American and a Japanese walking arm in arm when neither could understand a word spoken by the other.
The little chaps from ""The Land of the Rising Sun"" reciprocate.
It has frequently been a great convenience to me, in passing a Japanese guard, that I had only to call out ""American,"" when the cordial recognition, ""All right,"" in quaint English, was quickly given.
They are so gentle and yet so brave, possessing in a marked degree those companion virtues.
A boat-load of Japanese has just left this place for the hospitals in the settlement.
You see the portions of tents from which they have been removed, but you can scarcely see the blood stains.
Photography is merciful and does not portray the blood-smeared garments and the blood clots on the ground where the wounded have lain over night.
There is a dying soldier on the left and a wounded English or American soldier beyond him, under the cover.
Two Japanese doctors are seen here dressing wounds.
",24,War and Conflict
57,3,"From here you catch a glimpse of the canal I have previously mentioned, and along which many of the wounded were carried.
You can also discern buildings of the settlement, two miles away, on the Pei-ho.
We are looking east, as the red lines connected with the number 57 on the map show.
",24,War and Conflict
57,4,"A few rods back from where we stand, we will ascend the mud-wall and look toward the Native City and the South Gate (see map).
",11,Geography and Topography
58,2,"The allied armies have passed this morning from where we stand across that plain to the wall of the city through which they have just gone, led by the Japanese.
Several flags are already hoisted, which we can indistinctly discern.
To the extreme left, as I recall, the French flag; nearer the smoke, the American, over the South Gate; between the two columns of smoke, the Japanese, the English being hoisted in another part of the city.
You can distinguish the outlines of the walls of the city here, much as we could from the roof of the German Club building, showing still a distance of over a mile.
The road which extends from this point to the South Gate lies directly before us; it swings around that pond to the left, then again. to the right, passing around those farther native houses, where we see a number of persons; then again it deflects to the left, and continues directly to the South Gate at the left of the rising smoke, where the American flag flies triumphant over the smoldering ruins.
The ruins of the West Arsenal which we have had occasion to mention so frequently, lie at our right, extending nearly up to those trees and facing that small native village on the left.
These ponds occur frequently over the battlefield; sometimes as drainage canals, sometimes as mere stagnant pools.
The houses in these villages have all been destroyed by fire, probably by the shells fired at the arsenal which is in line with them.
You may see a canal beyond those houses on the other side of the pool.
That canal extends nearly to the city, and the road follows its right bank.
At a point half way to the city the Boxers had breastworks thrown across the road, and behind these were vast quantities of fired rifle shells.
In that nearby village were great numbers of the dead.
",24,War and Conflict
58,3,"We see before us a band of coolies bearing a palanquin containing some important personage, probably a civil functionary who has been allowed to pass the guards and escape to the country; or it may be a distinguished prisoner in charge of that officer who follows.
The coolies are carrying small, white flags for protection.
At such a time we do not stop to make inquiries about trifles.
We hurry on to reach the South Gate, and in passing through suburban villages we see many victims of the previous day's fighting; some within their houses, some in the yards of their homes; one little boy, I could not but notice, who lay over the threshold of his home, his feet projecting into the street.
When we reach the gate we find all is chaos and consternation; the flames within the walls of the quadrangular square at the gate are still burning fiercely.
The terrified inhabitants are cowering in every nook.
We ascend to the top of the wall, just east of the gate, and look west.
The Japanese seem to be in charge, but the Stars and Stripes have been sent up, even amid flame and smoke, and there they still float.
Our position is given on the map by the red lines connected with the number 59, which start a few rods east of the South Gate and branch west.
",24,War and Conflict
59,2,"The South Gate is beneath that burned tower on which our flag floats.
We entered there from our left, turned in this direction and ascended the wall at that inclined causeway at the right of the Japanese soldiers on the wall.
We are now looking westward, along the top of the wall.
The West Arsenal and the foreign settlements lie beyond this wall to our left.
",13,Military and Naval Defenses
59,3,"For days we have been looking to this spot before us; now we stand upon it when the victorious Allies are spreading out into every part of the city to our right.
We mentioned the Boxers in ignominious flight.
You notice two before us not in the condition of flight.
Since we entered China, these are the first I have been able to show you of the I-Ho-Chuan Society.
These poor fellows do not look much like overthrowing the reigning dynasty or even expelling the foreigners.
We know they are Boxers.
because they do not wear the uniform of the Imperial soldiers.
The number of dead along this wall was not great.
You see the protection afforded by this loopholed defense rising on our left.
The Boxers stood behind this and only occasional shots, passing through loopholes, could reach them.
The greater number of dead are in the streets and houses near this gate, many of whom have been killed by common shells and the deadly gases of the lyddite shells.
The wall, at the point where the soldiers are standing, extends to the left for about fifty feet, forming a quadrangle within which the great gates are located; hence, the impossibility of reaching them with shell.
While we are considering the wall, let me ask you to notice how it is constructed, as, at this place, the ruinous condition shows the formation, viz., a face wall, eight or ten feet in thickness on both sides, and the interspace filled with clay.
The bricks used are large, about four by eight by twelve inches.
You see a gathering of Japanese soldiers near the burned tower, and a few Americans at the left.
In the street below are Japanese horses laden with munitions of war.
Seated by the wall we see two Japanese civilian onlookers; may be they are attachés of the army, or correspondents; beyond them, standing against the wall, is a large native gun, called a gingal or twoman gun.
Many of these were brought into requisition by the Boxers, while the regular soldiers were supplied with the Austrian army guns, considered by many the most effective weapon on the field.
",24,War and Conflict
59,4,"We will pass along to that projecting point on the wall, at the right of the Japanese soldier, and face in this direction, that we may see a continuation of the wall back of us and the aspect of the street running parallel with it down on our right.
On the map see red lines, connected with the number 60, which branch to the east from near the South Gate.
",13,Military and Naval Defenses
60,2,"Here we have a general view looking east along the old wall which swings to the left in the distance.
The German Club building, from which we obtained our first panoramas of the battlefield, lies over a mile farther to the right than we can see.
We have again, from this position, a view of the Japanese military supply force, and there, near us, is an officer's horse; we see bands of coolies, probably commandeered for service; we see a line of captured “rikishas""; we may observe also this range of poorer houses made of mud; the better buildings are of brick, but all of one low story as usual.
You may notice many of these mud-houses pinked with bullet holes, made by shots passing over the wall and, more than likely, by some volleys fired after the entrance at the gate, which now lies behind us.
Farther on, a little to the left, we may see where a shell has penetrated a mud-roof; but still more interesting are buildings beyond, fronting on this same street where you see an open space, flanked by a brick wall; they are to the left of the wall and are a little higher than the surrounding structures.
They constitute a native arsenal and were well filled with all sorts of war materials, including cannon, rifles of many kinds, swords, ammunition, flags, soldiers' clothing, etc.
There is no doubt but that the ample supply of this military storehouse furnished many a souvenir to both civilian and soldier.
After the capture of the city it was divided into districts, and the different districts were assigned to troops of different nations for control and government.
This portion of the city was assigned to the Americans.
This district extends from the South Gate nearly to the tower we see in the distance, and to the left an equal distance.
Fortunately for the Americans the district contained both an arsenal and a mint; more correctly the so-called mint was a public building for the safe-keeping of syce or silver bullion received from all parts of the Empire, in payment for salt, which is produced in great quantities from sea-water, by solar evaporation, and shipped to the different Provinces.
In giving an account of this mint or salt-yamen, as we will call it, I must anticipate, in order that you may understand the interest attached to the scene before us; that is, I must tell you something of what transpired several days after the capture of the city, that you may better understand the scene presented here on the day following the battle.
",24,War and Conflict
60,3,"The location of the salt-yamen is indicated by those two tall poles resembling flag-poles off to our left; the buildings, at the time we are looking on the scene, are still smoldering, and few seemed to know that said buildings contained great quantities of bullion.
Soon after I was here I met an Anierican soldier who had in his possession an old bag containing about as much silver as he could conveniently carry.
He said, ""Look in this bag!""
I looked, and, sure enough, there was a back-load of bright bars; but I had some doubts about it being silver.
I suspected I had become possessed of one of those old tantalizing dreams about finding money.
I said to him, How much apiece for those bars?""
""Two dollars and a half; there's plenty more over there,"" was his reply.
It proved, however, to be silver of the first quality, worth thirty-five dollars per bar.
I had not qualified as a broker and the opportunity was lost.
During the following night, and before the military officers in command were fully aware of the great quantity of silver in the burning ruins, soldiers and others had carried off vast amounts.
From this source syce became so plentiful in the settlement that the military authorities prohibited the banks from buying it, and made some attempts to confiscate what had been thus taken by individuals.
The ruins of the salt-yamen proved a veritable silver mine.
A guard was placed over it finally, and the silver was removed to the headquarters of the U. S. Marines; but what disposition was finally made of this rich capture I have never been able to learn.
And, as to the amount, I cannot say authoritatively, but it was currently reported at one and a half millions of dollars.
This, however, I know, that when it was brought into the marine headquarters I made a photograph of nine four-mule wagon loads of silver, all standing at one time before the marine barracks, and was told that these nine four-mule teams would have to make a second trip to the yamen for the balance.
It was well known later that the Americans were not the only ones among the allied troops who found and carried away treasure.
It was a great surprise to me, on returning to the United States, to learn that so little mention had been made of these captures of such enormous quantities of bullion; indeed, up to the present, I have never met any one who had even heard of it.*
",24,War and Conflict
60,4,"If we turn about and follow the wall westward, only a few paces, past the tower on which we saw the American flag floating, we shall be within the section of the city occupied by the French.
From that point we shall look somewhat east of north over the center of the conquered city.
Our position and field of vision is given on the map by the red lines which start from the south wall, a short distance west of the South Gate, and branch northeast.
The number 61 is given at the starting point of these lines and at their ends on the map margin.
",24,War and Conflict
60,5,"From the New York Tribune of March 11, 1902, we quote the following ""According to a dispatch from Washington dated January 23, Secretary Hay that day handed to Minister Wu-Ting-Fang a draft on the United States Treasury for $376,600, the value of the silver bullion captured by American marines at Tien tsin.""
THE PUBLISHERS.
",24,War and Conflict
61,2,"For several days after the city was taken, destructive fires broke out in different parts, and it was reported that the entire city was to be destroyed, and from the precipitate flight of the terror-stricken inhabitants, one could not but believe that such notice had been served upon them.
At every gate, men, women and children were trampling and jostling in their efforts to escape to the country and to outlying villages.
The dead remained for days on the streets and within the deserted homes.
Here you can see homes going up in flame and smoke, and the homeless people sitting around awaiting permission from the French guards to leave the city.
These poor people are probably in no way responsible for the Boxer uprising, yet they have lost home and all save these paltry bundles, and thousands and tens of thousands have shared this ruthless fate.
From here you can only see at a distance the ravages of flame; you cannot see within those homes and shops the ravages of human hands as I saw them after leaving this spot and passing through streets near those all-devouring elements.
Doors were smashed; shops were entered and plundered; men and women were fleeing, carrying their precious heirlooms-their jewels, their furs, their silks, their embroidery, their money.
These much-prized valuables were snatched from them, and they dared not protest; they could not protest; they could not even tell that they were not Boxers; but their lives were dearer than their most cherished jade-stones, and they were even thankful to escape with life and honor.
One's property depreciates wonderfully when his life is imperiled.
I saw native women surrender their dearest belongings almost in a spirit of gratitude that life was not demanded.
Looting from an enemy bent on taking your life as well as your property is justifiable by a natural quid pro quo equivalency, or by the law of reprisal, as well as by the Old Testament code; but indiscriminate plunder of friend and foe is robbery, and robbery is robbery even in war.
The looting by the Allies was not confined to the enemy, nor even to the Chinese, but extended to the European settlement, where temporarily vacated homes of Europeans were entered and plundered.
Shamefully looted China has had a lesson in the ethics of Christian armies she will not soon forget.
Li Hung Chang said to a friend of mine that he had been reading up the Mosaic decalogue of the Christians, and suggested that the eighth commandment should be amended to read, ""Thou shalt not steal, but thou mayst loot.""
I have here mentioned looting because that which I witnessed and which I shall not soon forget occurred near where you see this fire burning.

",24,War and Conflict
61,3,"After an interval of three days we return to the South Gate and stand again on the wall over the gate and look directly north, toward the heart of the city.
See red lines connected with the number 62 on the map.
",13,Military and Naval Defenses
62,2,"There is a sadness about a deserted home; there is a greater sadness about a deserted city or village.
Before us lies a great city, not only deserted, but sacked, looted, and in ashes, by Christian armies.
Only a few days before this stereograph was made this street and the surrounding houses were a holocaust of human life.
A day later that long thoroughfare was a slow-moving line of homeless, weeping human beings-their homes in ashes, without food, friendless, and, in many cases, their kindred left charred in the ruins of their homes.
This is not of the imagination; all that I mention I saw.
There were mothers with babes; there were aged men and women supported by younger members of the family; there were wounded borne on wheelbarrows, when it was their fortune to have friends; otherwise, they were left to die.
I saw one poor fellow, whose leg had been shattered by a bullet, painfully hitching himself along by inches, dragging the broken limb, while the bone protruded from the wound.
At the same time, this street was strewn with corpses; those of persons asphyxiated by the fatal gases of the lyddite shells could easily be distinguished by the yellow discoloration of the skin.
Lily-feet, which were so expensive at Shanghai, were here the appendages of inangled corpses that had no more consideration than the carcasses of dogs, which also lined the streets; but the camera cannot portray nor the pen describe those heartrending scenes along this narrow street after the battle.
",24,War and Conflict
62,3,"Now it is a pathetic scene of desolation.
The homeless, starving multitudes have fled.
You see two coolies with wheelbarrows; these have been allowed to pass the guards to gather up scraps of worthless iron, or something of no value from the ruins.
You see also a woman who has been allowed to pass within the gates; we can only conjecture her mission; it is, doubtless, an urgent one, may be, to search for valuable property or missing friends.
Nothing less would tempt her to return at this time.
Besides being a sad picture of a pillaged and deserted city, you can see the character of its architecture; its situation on a level plain; its low one-story brick buildings and narrow streets, this being one of the principal thoroughfares.
You see the gate and tower beyond.
Such gates and towers usually denote the intersection of important streets.
",1,Architecture and Building
62,4,"This street is the boundary between the American and French sections of the city.
The transverse street, at the tower, is the northern limit of these districts.
",11,Geography and Topography
62,5,"We saw on the city wall two dead Boxers;
you may wish to witness a closer view of live specimens, and I think I promised you such a privilege on our way to the north.
We will therefore leave the Native City and return to the European settlement, where we shall be able to see about fifty.
",24,War and Conflict
